ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
206764_x_at	3.34e-01	2.39e-01	1.191157	-6.070165	0.1631098	MPPE1	metallophosphoesterase 1
228648_at	3.34e-01	2.40e-01	1.190958	-6.070398	0.5944513	LRG1	leucine rich alpha-2-glycoprotein 1
201116_s_at	3.34e-01	2.40e-01	-1.190924	-6.070437	-0.7456611	CPE	carboxypeptidase E
212992_at	3.34e-01	2.40e-01	-1.190681	-6.070719	-0.7604817	AHNAK2	AHNAK nucleoprotein 2
221757_at	3.34e-01	2.40e-01	1.190574	-6.070844	0.3611753	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
233317_at	3.34e-01	2.40e-01	1.19048	-6.070954	0.4506464	CD9	CD9 molecule
37943_at	3.34e-01	2.40e-01	-1.190435	-6.071007	-0.2140536	ZFYVE26	zinc finger FYVE-type containing 26
218246_at	3.35e-01	2.40e-01	-1.190084	-6.071415	-0.1245019	MUL1	mitochondrial E3 ubiquitin protein ligase 1
229912_at	3.35e-01	2.40e-01	-1.190044	-6.071462	-0.3253624	SDK1	sidekick cell adhesion molecule 1
243450_at	3.35e-01	2.40e-01	1.189946	-6.071576	0.2776599		
221724_s_at	3.35e-01	2.40e-01	1.189757	-6.071796	0.3687274	CLEC4A	C-type lectin domain family 4 member A
